,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 10:15:00,10,19,619,0.9016649323621228,0.0931321540062435,0.0,0.0,0.0,0.005202913631633715,1922.0,3
2023-01-01 10:20:00,10,24,624,0.9010165864098448,0.09149277688603531,0.0,0.0,0.0016051364365971107,0.004280363830925628,1869.0,3
2023-01-01 10:25:00,10,29,629,0.8963445167751627,0.09364046069103656,0.0,0.0,0.0,0.007511266900350526,1997.0,3
2023-01-01 10:30:00,10,34,634,0.9003522898842476,0.09109209864116759,0.0005032712632108706,0.0,0.0010065425264217413,0.006039255158530448,1987.0,3
2023-01-01 10:35:00,10,39,639,0.8891675025075225,0.09829488465396188,0.0005015045135406219,0.0,0.0025075225677031092,0.007522567703109328,1994.0,3
2023-01-01 10:40:00,10,44,644,0.9035769828926905,0.08553654743390357,0.0,0.0,0.0010368066355624676,0.00829445308449974,1929.0,3
2023-01-01 10:45:00,10,49,649,0.8898951382268827,0.09818875119161107,0.0,0.0,0.0019065776930409914,0.00667302192564347,2098.0,3
2023-01-01 10:50:00,10,54,654,0.898812351543943,0.09026128266033254,0.0,0.0,0.0,0.00665083135391924,2105.0,3
2023-01-01 10:55:00,10,59,659,0.8905325443786982,0.09615384615384616,0.0,0.0,0.0009861932938856016,0.008875739644970414,2028.0,3
2023-01-01 11:00:00,11,4,664,0.8999028182701652,0.08989310009718172,0.0,0.0,0.0009718172983479105,0.006316812439261419,2058.0,3
2023-01-01 11:05:00,11,9,669,0.9038744482589505,0.08386463952918097,0.0,0.0,0.0029426189308484553,0.008827856792545365,2039.0,3
2023-01-01 11:10:00,11,14,674,0.91063404892661,0.08187718422366451,0.0,0.0,0.00199700449326011,0.003494757863205192,2003.0,3
2023-01-01 11:15:00,11,19,679,0.8960843373493976,0.09437751004016064,0.0,0.0,0.0015060240963855422,0.007028112449799197,1992.0,3
2023-01-01 11:20:00,11,24,684,0.9198606271777003,0.07615729218516674,0.0,0.0,0.0014932802389248383,0.0024888003982080635,2009.0,3
2023-01-01 11:25:00,11,29,689,0.8975230694511899,0.0932491500728509,0.0,0.0,0.001942690626517727,0.006313744536182613,2059.0,3
2023-01-01 11:30:00,11,34,694,0.9133333333333333,0.08,0.0,0.0,0.0010256410256410256,0.005128205128205128,1950.0,3
2023-01-01 11:35:00,11,39,699,0.9118773946360154,0.07998084291187739,0.0,0.0,0.0014367816091954023,0.006226053639846743,2088.0,3
2023-01-01 11:40:00,11,44,704,0.9069879518072289,0.08626506024096385,0.0,0.0,0.0,0.005783132530120482,2075.0,3
2023-01-01 11:45:00,11,49,709,0.9002444987775061,0.09339853300733496,0.0,0.0,0.0019559902200488996,0.003911980440097799,2045.0,3
2023-01-01 11:50:00,11,54,714,0.8935,0.099,0.0,0.0,0.001,0.005,2000.0,3
2023-01-01 11:55:00,11,59,719,0.9115902964959569,0.08194070080862534,0.0,0.0,0.0005390835579514825,0.005929919137466307,1855.0,3
2023-01-01 12:00:00,12,4,724,0.9102902374670184,0.08390501319261214,0.0005277044854881266,0.0,0.0005277044854881266,0.0031662269129287598,1895.0,4
2023-01-01 12:05:00,12,9,729,0.9098228663446055,0.08427267847557703,0.0,0.0,0.0005367686527106817,0.004830917874396135,1863.0,4
2023-01-01 12:10:00,12,14,734,0.9001711351968055,0.0901312036508842,0.0,0.0,0.0,0.008556759840273816,1753.0,4
2023-01-01 12:15:00,12,19,739,0.9098737083811711,0.08553386911595867,0.0,0.0,0.001148105625717566,0.0028702640642939152,1742.0,4
2023-01-01 12:20:00,12,24,744,0.9035563592525618,0.08800482218203737,0.0,0.0,0.0006027727546714888,0.004822182037371911,1659.0,4
2023-01-01 12:25:00,12,29,749,0.9190535491905355,0.07347447073474471,0.0006226650062266501,0.0,0.0024906600249066002,0.0043586550435865505,1606.0,4
2023-01-01 12:30:00,12,34,754,0.9106918238993711,0.08364779874213836,0.0,0.0,0.0018867924528301887,0.0031446540880503146,1590.0,4
2023-01-01 12:35:00,12,39,759,0.9029754204398448,0.08020698576972833,0.0,0.0,0.00129366106080207,0.01034928848641656,1546.0,4
2023-01-01 12:40:00,12,44,764,0.9109498680738787,0.07849604221635884,0.0,0.0,0.001978891820580475,0.007255936675461741,1516.0,4
2023-01-01 12:45:00,12,49,769,0.9117259552042161,0.0836627140974967,0.0006587615283267457,0.0,0.0006587615283267457,0.0032938076416337285,1518.0,4
2023-01-01 12:50:00,12,54,774,0.9027863777089783,0.0891640866873065,0.0,0.0,0.0006191950464396285,0.006811145510835914,1615.0,4
2023-01-01 12:55:00,12,59,779,0.8891038039974211,0.09413281753707285,0.0,0.0,0.0,0.012250161186331399,1551.0,4
2023-01-01 13:00:00,13,4,784,0.9022277227722773,0.07673267326732673,0.0,0.0,0.0012376237623762376,0.011757425742574257,1616.0,4
2023-01-01 13:05:00,13,9,789,0.9095052083333334,0.08528645833333333,0.0,0.0,0.0,0.005208333333333333,1536.0,4
2023-01-01 13:10:00,13,14,794,0.9003236245954692,0.08737864077669903,0.0006472491909385113,0.0,0.0025889967637540453,0.008414239482200648,1545.0,4
2023-01-01 13:15:00,13,19,799,0.890452876376989,0.10281517747858017,0.0,0.0,0.0012239902080783353,0.0055079559363525096,1634.0,4
2023-01-01 13:20:00,13,24,804,0.9036375239310785,0.08806636885768986,0.0,0.0,0.0012763241863433313,0.006381620931716656,1567.0,4
2023-01-01 13:25:00,13,29,809,0.891290920321186,0.102532427424336,0.0,0.0,0.0024706609017912293,0.0030883261272390363,1619.0,4
2023-01-01 13:30:00,13,34,814,0.9212698412698412,0.07301587301587302,0.0,0.0,0.0019047619047619048,0.0025396825396825397,1575.0,4
2023-01-01 13:35:00,13,39,819,0.9132720105124835,0.08409986859395532,0.0,0.0,0.0,0.0019710906701708277,1522.0,4
2023-01-01 13:40:00,13,44,824,0.8990326481257558,0.094316807738815,0.0,0.0,0.0006045949214026602,0.006045949214026602,1654.0,4
2023-01-01 13:45:00,13,49,829,0.9013480392156863,0.09497549019607843,0.0,0.0,0.0012254901960784314,0.0024509803921568627,1632.0,4
2023-01-01 13:50:00,13,54,834,0.9071702944942381,0.088348271446863,0.0,0.0,0.002560819462227913,0.0019206145966709346,1562.0,4
2023-01-01 13:55:00,13,59,839,0.8952556993222428,0.09057301293900184,0.0,0.0,0.004313000616142945,0.006777572396796057,1623.0,4
2023-01-01 14:00:00,14,4,844,0.9141445336627548,0.07906114885731934,0.0,0.0,0.0018529956763434219,0.004323656578134651,1619.0,4
