,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 11:50:00,11,54,714,0.8935,0.099,0.0,0.0,0.001,0.005,2000.0,3
2023-01-01 11:55:00,11,59,719,0.9115902964959569,0.08194070080862534,0.0,0.0,0.0005390835579514825,0.005929919137466307,1855.0,3
2023-01-01 12:00:00,12,4,724,0.9102902374670184,0.08390501319261214,0.0005277044854881266,0.0,0.0005277044854881266,0.0031662269129287598,1895.0,4
2023-01-01 12:05:00,12,9,729,0.9098228663446055,0.08427267847557703,0.0,0.0,0.0005367686527106817,0.004830917874396135,1863.0,4
2023-01-01 12:10:00,12,14,734,0.9001711351968055,0.0901312036508842,0.0,0.0,0.0,0.008556759840273816,1753.0,4
2023-01-01 12:15:00,12,19,739,0.9098737083811711,0.08553386911595867,0.0,0.0,0.001148105625717566,0.0028702640642939152,1742.0,4
2023-01-01 12:20:00,12,24,744,0.9035563592525618,0.08800482218203737,0.0,0.0,0.0006027727546714888,0.004822182037371911,1659.0,4
2023-01-01 12:25:00,12,29,749,0.9190535491905355,0.07347447073474471,0.0006226650062266501,0.0,0.0024906600249066002,0.0043586550435865505,1606.0,4
2023-01-01 12:30:00,12,34,754,0.9106918238993711,0.08364779874213836,0.0,0.0,0.0018867924528301887,0.0031446540880503146,1590.0,4
2023-01-01 12:35:00,12,39,759,0.9029754204398448,0.08020698576972833,0.0,0.0,0.00129366106080207,0.01034928848641656,1546.0,4
2023-01-01 12:40:00,12,44,764,0.9109498680738787,0.07849604221635884,0.0,0.0,0.001978891820580475,0.007255936675461741,1516.0,4
2023-01-01 12:45:00,12,49,769,0.9117259552042161,0.0836627140974967,0.0006587615283267457,0.0,0.0006587615283267457,0.0032938076416337285,1518.0,4
2023-01-01 12:50:00,12,54,774,0.9027863777089783,0.0891640866873065,0.0,0.0,0.0006191950464396285,0.006811145510835914,1615.0,4
2023-01-01 12:55:00,12,59,779,0.8891038039974211,0.09413281753707285,0.0,0.0,0.0,0.012250161186331399,1551.0,4
2023-01-01 13:00:00,13,4,784,0.9022277227722773,0.07673267326732673,0.0,0.0,0.0012376237623762376,0.011757425742574257,1616.0,4
2023-01-01 13:05:00,13,9,789,0.9095052083333334,0.08528645833333333,0.0,0.0,0.0,0.005208333333333333,1536.0,4
2023-01-01 13:10:00,13,14,794,0.9003236245954692,0.08737864077669903,0.0006472491909385113,0.0,0.0025889967637540453,0.008414239482200648,1545.0,4
2023-01-01 13:15:00,13,19,799,0.890452876376989,0.10281517747858017,0.0,0.0,0.0012239902080783353,0.0055079559363525096,1634.0,4
2023-01-01 13:20:00,13,24,804,0.9036375239310785,0.08806636885768986,0.0,0.0,0.0012763241863433313,0.006381620931716656,1567.0,4
2023-01-01 13:25:00,13,29,809,0.891290920321186,0.102532427424336,0.0,0.0,0.0024706609017912293,0.0030883261272390363,1619.0,4
2023-01-01 13:30:00,13,34,814,0.9212698412698412,0.07301587301587302,0.0,0.0,0.0019047619047619048,0.0025396825396825397,1575.0,4
2023-01-01 13:35:00,13,39,819,0.9132720105124835,0.08409986859395532,0.0,0.0,0.0,0.0019710906701708277,1522.0,4
2023-01-01 13:40:00,13,44,824,0.8990326481257558,0.094316807738815,0.0,0.0,0.0006045949214026602,0.006045949214026602,1654.0,4
2023-01-01 13:45:00,13,49,829,0.9013480392156863,0.09497549019607843,0.0,0.0,0.0012254901960784314,0.0024509803921568627,1632.0,4
2023-01-01 13:50:00,13,54,834,0.9071702944942381,0.088348271446863,0.0,0.0,0.002560819462227913,0.0019206145966709346,1562.0,4
2023-01-01 13:55:00,13,59,839,0.8952556993222428,0.09057301293900184,0.0,0.0,0.004313000616142945,0.006777572396796057,1623.0,4
2023-01-01 14:00:00,14,4,844,0.9141445336627548,0.07906114885731934,0.0,0.0,0.0018529956763434219,0.004323656578134651,1619.0,4
2023-01-01 14:05:00,14,9,849,0.909480122324159,0.08623853211009175,0.0,0.0,0.001834862385321101,0.0024464831804281344,1635.0,4
2023-01-01 14:10:00,14,14,854,0.9097922848664688,0.08367952522255193,0.0,0.0,0.0035608308605341245,0.002967359050445104,1685.0,4
2023-01-01 14:15:00,14,19,859,0.8991549295774648,0.09408450704225352,0.0,0.0,0.0022535211267605635,0.004507042253521127,1775.0,4
2023-01-01 14:20:00,14,24,864,0.909688013136289,0.08593322386425835,0.0,0.0,0.0010946907498631637,0.003284072249589491,1827.0,4
2023-01-01 14:25:00,14,29,869,0.9014008620689655,0.0894396551724138,0.0005387931034482759,0.0,0.0021551724137931034,0.005387931034482759,1856.0,4
2023-01-01 14:30:00,14,34,874,0.5986394557823129,0.08649173955296405,0.0,0.024295432458697766,0.0029154518950437317,0.27793974732750243,1029.0,4
2023-01-01 14:35:00,14,39,879,0.5506012024048096,0.11072144288577154,0.000501002004008016,0.01503006012024048,0.009018036072144289,0.3026052104208417,1996.0,4
2023-01-01 14:40:00,14,44,884,0.6417535034135825,0.10887531440891125,0.00035932446999640676,0.010420409629895796,0.009701760689902982,0.22134387351778656,2783.0,4
2023-01-01 14:50:00,14,54,894,0.617522373999058,0.10504003768252473,0.0023551577955723034,0.02920395666509656,0.0051813471502590676,0.22373999057936883,2123.0,4
2023-01-01 14:55:00,14,59,899,0.50080688542227,0.13932221624529317,0.0032275416890801506,0.01613770844540075,0.00914470145239376,0.3087681549220011,1859.0,4
2023-01-01 15:00:00,15,4,904,0.6221536086453107,0.11539945966808182,0.0011578541103820917,0.007333076032419915,0.009262832883056734,0.23272867618680046,2591.0,4
2023-01-01 15:05:00,15,9,909,0.7077833409194356,0.1356395084205735,0.0009103322712790169,0.014110150204824761,0.007282658170232135,0.12380518889394629,2197.0,4
2023-01-01 15:10:00,15,14,914,0.5831993569131833,0.1370578778135048,0.0012057877813504824,0.011254019292604502,0.006430868167202572,0.2427652733118971,2488.0,4
2023-01-01 15:20:00,15,24,924,0.6285492026448852,0.14080124465188643,0.003500583430571762,0.004667444574095682,0.004278490859587709,0.20031116297160637,2571.0,4
2023-01-01 15:25:00,15,29,929,0.7435381000335683,0.11581067472306143,0.0016784155756965425,0.004028197381671702,0.004699563611950319,0.1228600201409869,2979.0,4
2023-01-01 15:30:00,15,34,934,0.6834219429676172,0.11358144030932818,0.0014499758337361043,0.01014983083615273,0.0043499275012083135,0.17254712421459642,2069.0,4
2023-01-01 15:35:00,15,39,939,0.5309537088678193,0.10875627440044618,0.0,0.025655326268823202,0.006134969325153374,0.31176798661461236,1793.0,4
2023-01-01 15:40:00,15,44,944,0.5798969072164949,0.11649484536082474,0.0005154639175257732,0.013402061855670102,0.008762886597938144,0.26649484536082474,1940.0,4
2023-01-01 15:45:00,15,49,949,0.5989304812834224,0.09732620320855614,0.0010695187165775401,0.009625668449197862,0.006417112299465241,0.27058823529411763,935.0,4
2023-01-01 15:50:00,15,54,954,0.7380668257756563,0.09069212410501193,0.0002983293556085919,0.002088305489260143,0.008651551312649164,0.15363961813842483,3352.0,4
2023-01-01 15:55:00,15,59,959,0.47374562427071176,0.12018669778296383,0.0,0.03267211201866978,0.012835472578763127,0.323220536756126,857.0,4
2023-01-01 16:00:00,16,4,964,0.5244279529993816,0.09771181199752628,0.0,0.012368583797155226,0.015460729746444033,0.3246753246753247,1617.0,5
2023-01-01 16:05:00,16,9,969,0.465311004784689,0.11244019138755981,0.0,0.02033492822966507,0.011961722488038277,0.37200956937799046,836.0,5
2023-01-01 16:10:00,16,14,974,0.6271899088997898,0.102312543798178,0.0,0.008409250175192713,0.00700770847932726,0.2431674842326559,1427.0,5
2023-01-01 16:15:00,16,19,979,0.4911392405063291,0.11265822784810127,0.002531645569620253,0.013924050632911392,0.015189873417721518,0.33164556962025316,790.0,5
2023-01-01 16:20:00,16,24,984,0.4939759036144578,0.11876075731497418,0.0,0.014629948364888123,0.00774526678141136,0.3442340791738382,1162.0,5
